algorithm,access_pattern,cores,runtime[s]
parallel_two_lattice_framework,stream,4,32.896473
parallel_two_lattice_framework,stream,8,17.815641
parallel_two_lattice_framework,stream,16,9.810615
parallel_two_lattice_framework,stream,32,6.241241
parallel_two_lattice_framework,stream,64,5.209626
parallel_two_lattice_framework,stream,128,4.427724
parallel_two_lattice_framework,bundle,2,63.818603
parallel_two_lattice_framework,bundle,4,33.409555
parallel_two_lattice_framework,bundle,8,17.708155
parallel_two_lattice_framework,bundle,16,9.896476
parallel_two_lattice_framework,bundle,32,6.244176
parallel_two_lattice_framework,bundle,64,5.173229
parallel_two_lattice_framework,bundle,128,4.499299
parallel_two_step,collision,2,63.479597
parallel_two_step,collision,4,32.089538
parallel_two_step,collision,8,18.562177
parallel_two_step,collision,16,9.703632
parallel_two_step,collision,32,6.109037
parallel_two_step,collision,64,5.213253
parallel_two_step,collision,128,4.489399
parallel_two_step,stream,2,63.257935
parallel_two_step,stream,4,32.152048
parallel_two_step,stream,8,17.497219
parallel_two_step,stream,16,10.964623
parallel_two_step,stream,32,6.188970
parallel_two_step,stream,64,5.241011
parallel_two_step,stream,128,4.588200
parallel_two_step,bundle,2,63.499352
parallel_two_step,bundle,4,32.456159
parallel_two_step,bundle,8,18.482377
parallel_two_step,bundle,16,10.118510
parallel_two_step,bundle,32,6.163391
parallel_two_step,bundle,64,5.274543
parallel_two_step,bundle,128,4.536923
parallel_swap,collision,2,66.251562
parallel_swap,collision,4,34.162416
parallel_swap,collision,8,18.238598
parallel_swap,collision,16,10.411694
parallel_swap,collision,32,6.585660
parallel_swap,collision,64,5.509571
parallel_swap,collision,128,4.828354
parallel_swap,stream,2,66.158071
parallel_swap,stream,4,34.172593
parallel_swap,stream,8,18.257689
parallel_swap,stream,16,11.303895
parallel_swap,stream,32,6.665035
parallel_swap,stream,64,5.559759
parallel_swap,stream,128,4.854896
parallel_swap,bundle,2,64.937734
parallel_swap,bundle,4,33.601119
parallel_swap,bundle,8,18.061012
parallel_swap,bundle,16,11.204541
parallel_swap,bundle,32,6.634657
parallel_swap,bundle,64,5.539808
parallel_swap,bundle,128,4.985691
parallel_shift,collision,2,62.227631
parallel_shift,collision,4,32.010716
parallel_shift,collision,8,17.263995
parallel_shift,collision,16,9.392679
parallel_shift,collision,32,5.798711
parallel_shift,collision,64,4.781587
parallel_shift,collision,128,3.989617
parallel_shift,stream,2,63.744545
parallel_shift,stream,4,32.579852
parallel_shift,stream,8,17.328526
parallel_shift,stream,16,9.620915
parallel_shift,stream,32,5.742118
parallel_shift,stream,64,5.309921
parallel_shift,stream,128,4.116784
parallel_shift,bundle,2,62.816594
parallel_shift,bundle,4,32.490045
parallel_shift,bundle,8,18.653171
parallel_shift,bundle,16,9.813571
parallel_shift,bundle,32,5.957113
parallel_shift,bundle,64,4.769385
parallel_shift,bundle,128,4.069143
parallel_two_lattice,collision,2,64.683836
parallel_two_lattice,collision,4,32.613042
parallel_two_lattice,collision,8,17.686187
parallel_two_lattice,collision,16,9.743354
parallel_two_lattice,collision,32,6.065685
parallel_two_lattice,collision,64,4.739971
parallel_two_lattice,collision,128,3.628003
parallel_two_lattice,stream,2,65.570422
parallel_two_lattice,stream,4,33.512875
parallel_two_lattice,stream,8,17.759982
parallel_two_lattice,stream,16,10.085336
parallel_two_lattice,stream,32,6.041297
parallel_two_lattice,stream,64,4.834650
parallel_two_lattice,stream,128,3.614387
parallel_two_lattice,bundle,2,64.849583
parallel_two_lattice,bundle,4,32.869856
parallel_two_lattice,bundle,8,17.667386
parallel_two_lattice,bundle,16,10.208135
parallel_two_lattice,bundle,32,6.129484
parallel_two_lattice,bundle,64,4.798594
parallel_two_lattice,bundle,128,3.601200
parallel_two_lattice_framework,collision,2,64.088868
parallel_two_lattice_framework,collision,4,32.699063
parallel_two_lattice_framework,collision,8,17.958451
parallel_two_lattice_framework,collision,16,9.854565
parallel_two_lattice_framework,collision,32,6.313579
parallel_two_lattice_framework,collision,64,5.224240
parallel_two_lattice_framework,collision,128,4.370868
parallel_two_lattice_framework,stream,2,64.149935
parallel_two_lattice_framework,stream,4,33.141392
parallel_two_lattice_framework,stream,8,17.687882
parallel_two_lattice_framework,stream,16,10.718695
parallel_two_lattice_framework,stream,32,7.259608
parallel_two_lattice_framework,stream,64,5.140925
parallel_two_lattice_framework,stream,128,4.489710
parallel_two_lattice_framework,bundle,2,64.864861
parallel_two_lattice_framework,bundle,4,32.792908
parallel_two_lattice_framework,bundle,8,18.661814
parallel_two_lattice_framework,bundle,16,10.767114
parallel_two_lattice_framework,bundle,32,6.242574
parallel_two_lattice_framework,bundle,64,5.148163
parallel_two_lattice_framework,bundle,128,4.472613
parallel_two_step,collision,2,62.156740
parallel_two_step,collision,4,32.761928
parallel_two_step,collision,8,17.216188
parallel_two_step,collision,16,9.749761
parallel_two_step,collision,32,6.233099
parallel_two_step,collision,64,5.261276
parallel_two_step,collision,128,4.563435
parallel_two_step,stream,2,63.321077
parallel_two_step,stream,4,32.585786
parallel_two_step,stream,8,17.557491
parallel_two_step,stream,16,9.696307
parallel_two_step,stream,32,6.051519
parallel_two_step,stream,64,5.337113
parallel_two_step,stream,128,4.639065
parallel_two_step,bundle,2,62.523499
parallel_two_step,bundle,4,32.972295
parallel_two_step,bundle,8,18.836002
parallel_two_step,bundle,16,9.613068
parallel_two_step,bundle,32,6.247301
parallel_two_step,bundle,64,5.214756
parallel_two_step,bundle,128,4.549110
parallel_swap,collision,2,66.447332
parallel_swap,collision,4,34.083662
parallel_swap,collision,8,19.405584
parallel_swap,collision,16,11.314918
parallel_swap,collision,32,6.717630
parallel_swap,collision,64,5.542054
parallel_swap,collision,128,4.893763
parallel_swap,stream,2,66.141654
parallel_swap,stream,4,33.466348
parallel_swap,stream,8,18.389604
parallel_swap,stream,16,10.964284
parallel_swap,stream,32,6.624403
parallel_swap,stream,64,5.593216
parallel_swap,stream,128,4.860344
parallel_swap,bundle,2,64.847698
parallel_swap,bundle,4,34.347968
parallel_swap,bundle,8,18.536540
parallel_swap,bundle,16,10.883548
parallel_swap,bundle,32,6.653666
parallel_swap,bundle,64,5.496045
parallel_swap,bundle,128,4.794161
parallel_shift,collision,2,62.778143
parallel_shift,collision,4,32.651247
parallel_shift,collision,8,17.367642
parallel_shift,collision,16,9.620685
parallel_shift,collision,32,5.741113
parallel_shift,collision,64,4.738033
parallel_shift,collision,128,4.044684
parallel_shift,stream,2,63.113208
parallel_shift,stream,4,32.469749
parallel_shift,stream,8,17.079694
parallel_shift,stream,16,10.400046
parallel_shift,stream,32,5.815079
parallel_shift,stream,64,4.821946
parallel_shift,stream,128,4.006247
parallel_shift,bundle,2,63.839921
parallel_shift,bundle,4,33.008968
parallel_shift,bundle,8,17.143975
parallel_shift,bundle,16,9.438846
parallel_shift,bundle,32,5.853369
parallel_shift,bundle,64,4.775611
parallel_shift,bundle,128,4.010610
parallel_two_lattice,collision,2,64.243605
parallel_two_lattice,collision,4,33.125204
parallel_two_lattice,collision,8,17.615832
parallel_two_lattice,collision,16,9.702839
parallel_two_lattice,collision,32,6.147381
parallel_two_lattice,collision,64,4.756054
parallel_two_lattice,collision,128,3.613950
parallel_two_lattice,stream,2,64.765910
parallel_two_lattice,stream,4,33.190849
parallel_two_lattice,stream,8,17.451645
parallel_two_lattice,stream,16,10.284394
parallel_two_lattice,stream,32,6.241753
parallel_two_lattice,stream,64,4.766885
parallel_two_lattice,stream,128,3.626818
parallel_two_lattice,bundle,2,65.365534
parallel_two_lattice,bundle,4,33.249536
parallel_two_lattice,bundle,8,17.857267
parallel_two_lattice,bundle,16,9.677928
parallel_two_lattice,bundle,32,6.004844
parallel_two_lattice,bundle,64,4.744031
parallel_two_lattice,bundle,128,3.604407
parallel_two_lattice_framework,collision,2,64.660001
parallel_two_lattice_framework,collision,4,32.807038
parallel_two_lattice_framework,collision,8,18.397574
parallel_two_lattice_framework,collision,16,10.973093
parallel_two_lattice_framework,collision,32,6.161622
parallel_two_lattice_framework,collision,64,5.207186
parallel_two_lattice_framework,collision,128,4.409273
parallel_two_lattice_framework,stream,2,65.359640
parallel_two_lattice_framework,stream,4,33.308607
parallel_two_lattice_framework,stream,8,17.812187
parallel_two_lattice_framework,stream,16,9.760455
parallel_two_lattice_framework,stream,32,6.230235
parallel_two_lattice_framework,stream,64,5.111355
parallel_two_lattice_framework,stream,128,4.429982
parallel_two_lattice_framework,bundle,2,63.800583
parallel_two_lattice_framework,bundle,4,33.457531
parallel_two_lattice_framework,bundle,8,17.823470
parallel_two_lattice_framework,bundle,16,9.839991
parallel_two_lattice_framework,bundle,32,6.182729
parallel_two_lattice_framework,bundle,64,5.162128
parallel_two_lattice_framework,bundle,128,4.459088
parallel_two_step,collision,2,62.873635
parallel_two_step,collision,4,32.543138
parallel_two_step,collision,8,17.930533
parallel_two_step,collision,16,9.778947
parallel_two_step,collision,32,7.258658
parallel_two_step,collision,64,5.154156
parallel_two_step,collision,128,4.549916
parallel_two_step,stream,2,63.806697
parallel_two_step,stream,4,32.741416
parallel_two_step,stream,8,18.664007
parallel_two_step,stream,16,9.690331
parallel_two_step,stream,32,6.091916
parallel_two_step,stream,64,5.220861
parallel_two_step,stream,128,4.630957
parallel_two_step,bundle,2,63.912857
parallel_two_step,bundle,4,33.060177
parallel_two_step,bundle,8,17.694135
parallel_two_step,bundle,16,9.749270
parallel_two_step,bundle,32,6.163684
parallel_two_step,bundle,64,5.199396
parallel_two_step,bundle,128,4.499853
parallel_swap,collision,2,66.140762
parallel_swap,collision,4,34.034609
parallel_swap,collision,8,18.305027
parallel_swap,collision,16,10.254948
parallel_swap,collision,32,6.568923
parallel_swap,collision,64,5.571351
parallel_swap,collision,128,4.824060
parallel_swap,stream,2,64.898121
parallel_swap,stream,4,33.730597
parallel_swap,stream,8,19.603892
parallel_swap,stream,16,10.211778
parallel_swap,stream,32,6.565106
parallel_swap,stream,64,5.576848
parallel_swap,stream,128,4.906550
parallel_swap,bundle,2,66.150761
parallel_swap,bundle,4,34.295149
parallel_swap,bundle,8,18.208088
parallel_swap,bundle,16,10.303719
parallel_swap,bundle,32,6.568386
parallel_swap,bundle,64,5.621893
parallel_swap,bundle,128,4.938503
parallel_shift,collision,2,61.816452
parallel_shift,collision,4,32.176970
parallel_shift,collision,8,17.418065
parallel_shift,collision,16,10.383688
parallel_shift,collision,32,5.809868
parallel_shift,collision,64,5.289254
parallel_shift,collision,128,4.016412
parallel_shift,stream,2,62.352173
parallel_shift,stream,4,32.600839
parallel_shift,stream,8,17.254879
parallel_shift,stream,16,9.865962
parallel_shift,stream,32,5.935609
parallel_shift,stream,64,4.762662
parallel_shift,stream,128,3.979865
parallel_shift,bundle,2,63.357562
parallel_shift,bundle,4,32.774312
parallel_shift,bundle,8,17.242779
parallel_shift,bundle,16,9.890791
parallel_shift,bundle,32,5.805644
parallel_shift,bundle,64,5.288796
parallel_shift,bundle,128,3.987815
parallel_two_lattice,collision,2,64.579938
parallel_two_lattice,collision,4,33.087477
parallel_two_lattice,collision,8,18.255477
parallel_two_lattice,collision,16,9.778586
parallel_two_lattice,collision,32,6.008752
parallel_two_lattice,collision,64,4.759241
parallel_two_lattice,collision,128,3.638155
parallel_two_lattice,stream,2,65.384288
parallel_two_lattice,stream,4,33.121345
parallel_two_lattice,stream,8,17.434140
parallel_two_lattice,stream,16,9.800457
parallel_two_lattice,stream,32,5.953033
parallel_two_lattice,stream,64,4.789186
parallel_two_lattice,stream,128,3.608946
parallel_two_lattice,bundle,2,63.702023
parallel_two_lattice,bundle,4,33.118407
parallel_two_lattice,bundle,8,17.783224
parallel_two_lattice,bundle,16,9.743846
parallel_two_lattice,bundle,32,6.119570
parallel_two_lattice,bundle,64,4.788681
parallel_two_lattice,bundle,128,3.631294
parallel_two_lattice_framework,collision,2,65.130594
parallel_two_lattice_framework,collision,4,33.092503
parallel_two_lattice_framework,collision,8,17.528747
parallel_two_lattice_framework,collision,16,10.304645
parallel_two_lattice_framework,collision,32,6.393885
parallel_two_lattice_framework,collision,64,5.159667
parallel_two_lattice_framework,collision,128,4.368040
parallel_two_lattice_framework,stream,2,65.489548
parallel_two_lattice_framework,stream,4,33.025985
parallel_two_lattice_framework,stream,8,17.560851
parallel_two_lattice_framework,stream,16,9.976591
parallel_two_lattice_framework,stream,32,7.259612
parallel_two_lattice_framework,stream,64,5.227740
parallel_two_lattice_framework,stream,128,4.429252
parallel_two_lattice_framework,bundle,2,63.762219
parallel_two_lattice_framework,bundle,4,33.536450
parallel_two_lattice_framework,bundle,8,17.965895
parallel_two_lattice_framework,bundle,16,10.359051
parallel_two_lattice_framework,bundle,32,6.308698
parallel_two_lattice_framework,bundle,64,5.155632
parallel_two_lattice_framework,bundle,128,4.394189
parallel_two_step,collision,2,64.167229
parallel_two_step,collision,4,32.716606
parallel_two_step,collision,8,17.275886
parallel_two_step,collision,16,9.680626
parallel_two_step,collision,32,6.109664
parallel_two_step,collision,64,5.198855
parallel_two_step,collision,128,4.480767
parallel_two_step,stream,2,62.453639
parallel_two_step,stream,4,32.084625
parallel_two_step,stream,8,19.538126
parallel_two_step,stream,16,9.758216
parallel_two_step,stream,32,6.164168
parallel_two_step,stream,64,5.253491
parallel_two_step,stream,128,4.560930
parallel_two_step,bundle,2,64.072935
parallel_two_step,bundle,4,32.137877
parallel_two_step,bundle,8,17.683880
parallel_two_step,bundle,16,9.723587
parallel_two_step,bundle,32,6.044165
parallel_two_step,bundle,64,5.245951
parallel_two_step,bundle,128,4.522116
parallel_swap,collision,2,65.687059
parallel_swap,collision,4,33.829738
parallel_swap,collision,8,19.237893
parallel_swap,collision,16,10.885916
parallel_swap,collision,32,6.622078
parallel_swap,collision,64,5.553564
